# anchor_mass BB CC
25 26781.20 12518.25
35 9377.22 5253.11
45 3688.05 2461.56
55 2032.43 1474.71
65 1340.12 1032.36
75 969.44 787.03
85 755.67 643.50
95 617.79 541.53
105 529.85 472.76
115 448.42 417.32
125 396.17 371.46
135 352.69 338.64
145 317.75 315.90
155 295.56 298.94
165 278.63 283.77
175 260.90 276.79
185 254.03 265.24
195 240.02 256.98
205 232.00 256.19
215 226.77 257.23
225 220.64 252.36
235 223.08 250.70
245 221.02 256.71
